iter	Passed	Remaining
0	1	122
1	2	109
2	3	106
3	4	98
4	5	98
5	6	95
6	7	94
7	8	94
8	9	93
9	10	92
10	11	91
11	12	89
12	13	90
13	15	92
14	16	92
15	17	92
16	18	92
17	19	90
18	20	89
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	83
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	33	75
31	34	73
32	35	72
33	36	71
34	37	70
35	38	68
36	39	67
37	40	66
38	42	65
39	42	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	88	18
83	88	16
84	90	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
